Caching statewide totals and rates...
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Barrington, RI0010100                       |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Offense                                     | Agency count | State count | Agency rate        | State rate          | +/-                  |
+---------------------------------------------+--------------+-------------+--------------------+---------------------+----------------------+
| Not Specified                               | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Justifiable Homicide                        | 0            | 2           | 0.0                | 0.18952782931881804 | -0.18952782931881804 |
| False Pretenses/Swindle/Confidence Game     | 89           | 2619        | 548.4348040423959  | 248.18669249299222  | 300.24811154940363   |
| Statutory Rape                              | 1            | 28          | 6.162188809465122  | 2.6533896104634525  | 3.5087991990016696   |
| Sexual Assault With An Object               | 1            | 36          | 6.162188809465122  | 3.4115009277387247  | 2.7506878817263973   |
| Destruction/Damage/Vandalism of Property    | 57           | 7909        | 351.244762139512   | 749.4878010412659   | -398.24303890175395  |
| Family Offenses                             | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Theft of Motor Vehicle Parts or Accessories | 1            | 850         | 6.162188809465122  | 80.54932746049766   | -74.38713865103254   |
| Pornography/Obscene Material                | 0            | 175         | 0.0                | 16.583685065396576  | -16.583685065396576  |
| Sports Tampering                            | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Driving Under the Influence                 | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Counterfeiting/Forgery                      | 8            | 553         | 49.297510475720976 | 52.40444480665318   | -3.106934330932205   |
| Welfare Fraud                               | 0            | 8           | 0.0                | 0.7581113172752721  | -0.7581113172752721  |
| Pocket-picking                              | 0            | 33          | 0.0                | 3.1272091837604976  | -3.1272091837604976  |
| Theft From Motor Vehicle                    | 15           | 3962        | 92.43283214197683  | 375.4546298805785   | -283.02179773860166  |
| Assisting or Promoting Prostitution         | 0            | 15          | 0.0                | 1.4214587198911353  | -1.4214587198911353  |
| Drug/Narcotic Violations                    | 41           | 3585        | 252.64974118807    | 339.7286340539813   | -87.07889286591129   |
| Wire Fraud                                  | 1            | 136         | 6.162188809465122  | 12.887892393679627  | -6.7257035842145045  |
| Purse-snatching                             | 0            | 33          | 0.0                | 3.1272091837604976  | -3.1272091837604976  |
| Runaway                                     | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Arson                                       | 2            | 140         | 12.324377618930244 | 13.266948052317263  | -0.9425704333870186  |
| Motor Vehicle Theft                         | 2            | 1114        | 12.324377618930244 | 105.56700093058164  | -93.2426233116514    |
| Drunkenness                                 | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Shoplifting                                 | 6            | 2156        | 36.973132856790734 | 204.31100000568583  | -167.3378671488951   |
| Operating/Promoting/Assisting Gambling      | 0            | 30          | 0.0                | 2.8429174397822705  | -2.8429174397822705  |
| Bad Checks                                  | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
| Extortion/Blackmail                         | 0            | 26          | 0.0                | 2.4638617811446344  | -2.4638617811446344  |
| Aggravated Assault                          | 1            | 1356        | 6.162188809465122  | 128.49986827815863  | -122.33767946869351  |
| Stolen Property Offenses                    | 6            | 521         | 36.973132856790734 | 49.3719995375521    | -12.398866680761365  |
| Kidnapping/Abduction                        | 0            | 34          | 0.0                | 3.2219730984199066  | -3.2219730984199066  |
| Prostitution                                | 0            | 41          | 0.0                | 3.8853205010357694  | -3.8853205010357694  |
| Betting/Wagering                            | 0            | 0           | 0.0                | 0.0                 | 0.0                  |
